Time,Data
11:24:36.175,895.513916
11:24:36.175,895.513916
11:24:36.215,895.5158691
11:24:36.255,895.5246582
11:24:36.295,895.5258789
11:24:36.335,895.526123
11:24:36.375,895.5222168
11:24:36.415,895.5251465
11:24:36.455,895.5183105
11:24:36.495,895.5163574
11:24:36.535,895.5168457
11:24:36.575,895.5236816
11:24:36.615,895.5163574
11:24:36.655,895.5085449
11:24:36.695,895.5124512
11:24:36.735,895.4997559
11:24:36.775,895.4997559
11:24:36.815,895.4916992
11:24:36.855,895.5002441
11:24:36.894,895.5019531
11:24:36.935,895.5085449
11:24:36.975,895.5119629
11:24:37.015,895.5024414
11:24:37.055,895.505127
11:24:37.096,895.5065918
11:24:37.135,895.4956055
11:24:37.175,895.5009766
11:24:37.215,895.4990234
11:24:37.255,895.4978027
11:24:37.295,895.494873
11:24:37.335,895.4929199
11:24:37.375,895.4504395
11:24:37.415,895.3908691
11:24:37.455,895.3879395
11:24:37.495,895.4182129
11:24:37.535,895.4794922
11:24:37.575,895.5146484
11:24:37.615,895.5522461
11:24:37.655,895.5874023
11:24:37.695,895.6181641
11:24:37.735,895.6206055
11:24:37.775,895.6081543
11:24:37.815,895.6015625
11:24:37.855,895.5913086
11:24:37.895,895.5932617
11:24:37.935,895.6245117
11:24:37.975,895.690918
11:24:38.015,895.7004395
11:24:38.055,895.6889648
11:24:38.095,895.7543945
11:24:38.135,896.0239258
11:24:38.175,896.4335938
11:24:38.215,896.7236328
11:24:38.255,896.7927246
11:24:38.295,896.6088867
11:24:38.335,896.5561523
11:24:38.375,896.4699707
11:24:38.415,896.3723145
11:24:38.455,896.2233887
11:24:38.495,896.2058105
11:24:38.535,896.1123047
11:24:38.575,896.0524902
11:24:38.615,896.0483398
11:24:38.655,896.0703125
11:24:38.695,895.9296875
11:24:38.735,895.8408203
11:24:38.775,895.7275391
11:24:38.815,895.3178711
11:24:38.855,895.1831055
11:24:38.895,895.1628418
11:24:38.935,895.1169434
11:24:38.977,894.9926758
11:24:39.015,894.869873
11:24:39.055,894.869873
11:24:39.095,894.8442383
11:24:39.135,894.7971191
11:24:39.175,894.8933105
11:24:39.215,894.9230957
11:24:39.255,894.9692383
11:24:39.295,895.0402832
11:24:39.335,895.1340332
11:24:39.375,895.2468262
11:24:39.415,895.3874512
11:24:39.455,895.4060059
11:24:39.495,895.4211426
11:24:39.535,895.4672852
11:24:39.575,895.4775391
11:24:39.615,895.4858398
11:24:39.655,895.5546875
11:24:39.695,895.5776367
11:24:39.735,895.5969238
11:24:39.775,895.6091309
11:24:39.815,895.5778809
11:24:39.855,895.5534668
11:24:39.895,895.5473633
11:24:39.935,895.5473633
11:24:39.975,895.5288086
11:24:40.015,895.526123
11:24:40.055,895.510498
11:24:40.095,895.487793
11:24:40.135,895.4946289
11:24:40.175,895.5029297
11:24:40.215,895.5073242
11:24:40.255,895.4919434
11:24:40.295,895.4724121
11:24:40.335,895.4538574
11:24:40.375,895.4660645
11:24:40.415,895.510498
11:24:40.455,895.5539551
11:24:40.495,895.5703125
11:24:40.535,895.5791016
11:24:40.575,895.5812988
11:24:40.615,895.5991211
11:24:40.655,895.6152344
11:24:40.695,895.6318359
11:24:40.735,895.6196289
11:24:40.775,895.5834961
11:24:40.815,895.5476074
11:24:40.855,895.5556641
11:24:40.895,895.5605469
11:24:40.935,895.572998
11:24:40.975,895.5505371
11:24:41.015,895.5656738
11:24:41.055,895.5566406
11:24:41.095,895.5341797
11:24:41.135,895.5202637
11:24:41.175,895.5065918
11:24:41.215,895.5493164
11:24:41.255,895.5771484
11:24:41.295,895.5771484
11:24:41.335,895.5788574
11:24:41.375,895.5354004
11:24:41.415,895.552002
11:24:41.455,895.5861816
11:24:41.495,895.6328125
11:24:41.535,895.6713867
11:24:41.575,895.7104492
11:24:41.615,895.7216797
11:24:41.655,895.699707
11:24:41.695,895.652832
11:24:41.735,895.6252441
11:24:41.775,895.5974121
11:24:41.815,895.5666504
11:24:41.855,895.5629883
11:24:41.895,895.5625
11:24:41.935,895.5598145
11:24:41.975,895.5554199
11:24:42.015,895.560791
11:24:42.055,895.6257324
11:24:42.094,895.701416
11:24:42.135,895.5739746
11:24:42.175,895.5148926
11:24:42.215,895.5466309
11:24:42.255,895.5458984
11:24:42.295,895.5275879
11:24:42.335,895.4938965
11:24:42.375,895.4868164
11:24:42.415,895.4716797
11:24:42.455,895.4692383
11:24:42.495,895.467041
11:24:42.535,895.4802246
11:24:42.575,895.5405273
11:24:42.615,895.6469727
11:24:42.655,895.565918
11:24:42.695,895.5383301
11:24:42.735,895.7907715
11:24:42.775,895.8520508
11:24:42.815,895.842041
11:24:42.855,895.7883301
11:24:42.895,895.7675781
11:24:42.935,895.7626953
11:24:42.975,895.7697754
11:24:43.015,895.7949219
11:24:43.055,895.7841797
11:24:43.095,895.7158203
11:24:43.135,895.5712891
11:24:43.175,895.7680664
11:24:43.215,895.6677246
11:24:43.255,895.5339355
11:24:43.295,895.5095215
11:24:43.335,895.6210938
11:24:43.375,895.644043
11:24:43.415,895.6115723
11:24:43.455,895.6281738
11:24:43.495,895.6787109
11:24:43.535,895.6787109
11:24:43.575,895.810791
11:24:43.615,895.8620605
11:24:43.655,895.8154297
11:24:43.695,895.8156738
11:24:43.735,895.8146973
11:24:43.775,895.8347168
11:24:43.815,895.8083496
11:24:43.855,895.7333984
11:24:43.895,895.684082
11:24:43.935,895.689209
11:24:43.975,895.6418457
11:24:44.015,895.9707031
11:24:44.055,895.786377
11:24:44.095,895.7641602
11:24:44.135,895.7978516
11:24:44.175,895.7038574
11:24:44.215,895.6623535
11:24:44.255,895.6279297
11:24:44.295,895.6118164
11:24:44.335,895.5759277
11:24:44.375,895.5288086
11:24:44.415,895.5019531
11:24:44.455,895.4831543
11:24:44.495,895.4753418
11:24:44.535,895.4748535
11:24:44.575,895.4755859
11:24:44.615,895.5097656
11:24:44.655,895.5319824
